time	V(n003)
2.700000326860210e-01	1.294055e-01
2.700000439523409e-01	1.292057e-01
2.700000573502372e-01	1.288927e-01
2.700000783294227e-01	1.283509e-01
2.700001202877938e-01	1.272811e-01
2.700002042045359e-01	1.254424e-01
2.700003175421855e-01	1.236209e-01
2.700004219827998e-01	1.225905e-01
2.700005419457120e-01	1.219672e-01
2.700006700549627e-01	1.216478e-01
2.700008418012802e-01	1.214747e-01
2.700010521552211e-01	1.214043e-01
2.700013624792092e-01	1.213816e-01
2.700018104420323e-01	1.213775e-01
2.800000000000000e-01	1.213774e-01
2.800000010000000e-01	1.267048e-01
2.800000030000000e-01	1.374147e-01
2.800000060000000e-01	1.536015e-01
2.800000100000000e-01	1.753017e-01
2.800000103999999e-01	1.738317e-01
2.800000112000000e-01	1.708817e-01
2.800000128000000e-01	1.649258e-01
2.800000160000000e-01	1.527705e-01
2.800000200000000e-01	1.372512e-01
2.800000212000001e-01	1.370806e-01
2.800000228000001e-01	1.368362e-01
2.800000260000001e-01	1.363125e-01
2.800000324000002e-01	1.351906e-01
2.800000452000004e-01	1.329870e-01
2.800000708000007e-01	1.293939e-01
2.800000947628395e-01	1.273734e-01
2.800001164878015e-01	1.266101e-01
2.800001393299288e-01	1.262633e-01
2.800001668279019e-01	1.260526e-01
