Freq.	V(nc_01)
2.00909281260870e+00	(-1.51175018187769e+01dB,-5.96383124781683e-02°)
2.01372424986236e+00	(-1.51175018404957e+01dB,-5.97757928873497e-02°)
2.01836636368153e+00	(-1.51175018623147e+01dB,-5.99135902209163e-02°)
2.02301917867824e+00	(-1.51175018842345e+01dB,-6.00517052094470e-02°)
2.02768271952125e+00	(-1.51175019062554e+01dB,-6.01901385852059e-02°)
2.03235701093619e+00	(-1.51175019283780e+01dB,-6.03288910821497e-02°)
2.03704207770569e+00	(-1.51175019506027e+01dB,-6.04679634359230e-02°)
2.04173794466950e+00	(-1.51175019729299e+01dB,-6.06073563838658e-02°)
2.04644463672464e+00	(-1.51175019953603e+01dB,-6.07470706650235e-02°)
2.05116217882553e+00	(-1.51175020178941e+01dB,-6.08871070201321e-02°)
2.05589059598411e+00	(-1.51175020405320e+01dB,-6.10274661916536e-02°)
2.06062991326997e+00	(-1.51175020632744e+01dB,-6.11681489237427e-02°)
2.06538015581050e+00	(-1.51175020861217e+01dB,-6.13091559622855e-02°)
2.07014134879101e+00	(-1.51175021090745e+01dB,-6.14504880548789e-02°)
2.07491351745488e+00	(-1.51175021321333e+01dB,-6.15921459508406e-02°)
2.07969668710366e+00	(-1.51175021552984e+01dB,-6.17341304012248e-02°)
2.08449088309726e+00	(-1.51175021785705e+01dB,-6.18764421588043e-02°)
2.08929613085401e+00	(-1.51175022019501e+01dB,-6.20190819781058e-02°)
2.09411245585086e+00	(-1.51175022254375e+01dB,-6.21620506153748e-02°)
2.09893988362349e+00	(-1.51175022490333e+01dB,-6.23053488286161e-02°)
2.10377843976644e+00	(-1.51175022727381e+01dB,-6.24489773775733e-02°)
2.10862814993326e+00	(-1.51175022965523e+01dB,-6.25929370237420e-02°)
2.11348903983661e+00	(-1.51175023204764e+01dB,-6.27372285303770e-02°)
2.11836113524847e+00	(-1.51175023445109e+01dB,-6.28818526624874e-02°)
2.12324446200018e+00	(-1.51175023686564e+01dB,-6.30268101868496e-02°)
2.12813904598268e+00	(-1.51175023929133e+01dB,-6.31721018720120e-02°)
2.13304491314654e+00	(-1.51175024172822e+01dB,-6.33177284882774e-02°)
2.13796208950220e+00	(-1.51175024417635e+01dB,-6.34636908077438e-02°)
2.14289060112002e+00	(-1.51175024663579e+01dB,-6.36099896042815e-02°)
2.14783047413050e+00	(-1.51175024910658e+01dB,-6.37566256535457e-02°)
2.15278173472434e+00	(-1.51175025158877e+01dB,-6.39035997329744e-02°)
2.15774440915263e+00	(-1.51175025408242e+01dB,-6.40509126218029e-02°)
2.16271852372698e+00	(-1.51175025658758e+01dB,-6.41985651010623e-02°)
2.16770410481966e+00	(-1.51175025910431e+01dB,-6.43465579535862e-02°)
2.17270117886371e+00	(-1.51175026163265e+01dB,-6.44948919640038e-02°)
2.17770977235312e+00	(-1.51175026417266e+01dB,-6.46435679187649e-02°)
2.18272991184296e+00	(-1.51175026672439e+01dB,-6.47925866061252e-02°)
2.18776162394952e+00	(-1.51175026928791e+01dB,-6.49419488161608e-02°)
2.19280493535041e+00	(-1.51175027186325e+01dB,-6.50916553407563e-02°)
2.19785987278479e+00	(-1.51175027445049e+01dB,-6.52417069736476e-02°)
2.20292646305342e+00	(-1.51175027704966e+01dB,-6.53921045103762e-02°)
2.20800473301886e+00	(-1.51175027966083e+01dB,-6.55428487483302e-02°)
2.21309470960560e+00	(-1.51175028228406e+01dB,-6.56939404867338e-02°)
2.21819641980018e+00	(-1.51175028491939e+01dB,-6.58453805266424e-02°)
